SampleID;Group;Genotype;Infection;ShortName
GSM2834531;A549_Mock;WT;Mock;WT.Mock.1
GSM2834532;A549_Mock;WT;Mock;WT.Mock.2
GSM2834533;A549_Mock;WT;Mock;WT.Mock.3
GSM2834534;A549_Virus;WT;IAV;WT.IAV.1
GSM2834535;A549_Virus;WT;IAV;WT.IAV.2
GSM2834536;A549_Virus;WT;IAV;WT.IAV.3
GSM2834537;A549-KO3_Mock;KO;Mock;KO.Mock.1
GSM2834538;A549-KO3_Mock;KO;Mock;KO.Mock.2
GSM2834539;A549-KO3_Mock;KO;Mock;KO.Mock.3
GSM2834540;A549-KO3_Virus;KO;IAV;KO.IAV.1
GSM2834541;A549-KO3_Virus;KO;IAV;KO.IAV.2
GSM2834542;A549-KO3_Virus;KO;IAV;KO.IAV.3
